line,datetime,dim,m_dist,anom,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
132,2021-01-19 21:21:49.066040,2,1.32637,0,0,4835,4826,4818,0,0,0,0,0,0,748,652,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,2,0.5443,0,0,4728,4828,8293,0,0,0,0,0,0,333,580,0,0,0,0,0,0
133,2021-01-19 21:21:43.364366,2,2.09311,0,0,8312,4690,4686,0,0,0,0,0,0,890,493,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,3,1.78525,0,0,4837,4728,4828,8293,0,0,0,0,0,75,333,580,0,0,0,0,0
1,2021-01-19 21:22:38.670034,1,0.48114,0,0,8284,5450,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0
1,2021-01-19 21:22:38.670034,1,0.65693,0,0,8280,8322,0,0,0,0,0,0,0,1215,0,0,0,0,0,0,0
44,2021-01-19 21:22:34.419177,1,0.86568,0,0,5661,5657,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,1,2.14661,1,1,4837,4728,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,1,0.56142,0,0,4835,4826,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,1,0.61443,0,0,4728,4828,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,1,0.30408,0,0,4826,4818,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,1,0.1378,0,0,4828,8293,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0
133,2021-01-19 21:22:38.328332,1,0.62408,0,0,4690,4686,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0
133,2021-01-19 21:22:38.328332,1,0.71468,0,0,4685,4693,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,2,2.19905,1,1,4837,4728,4828,0,0,0,0,0,0,16,403,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,2,1.09323,0,0,4835,4826,4818,0,0,0,0,0,0,700,635,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,2,0.28989,0,0,4728,4828,8293,0,0,0,0,0,0,403,593,0,0,0,0,0,0
132,2021-01-19 21:22:38.346409,3,1.84052,0,0,4837,4728,4828,8293,0,0,0,0,0,16,403,593,0,0,0,0,0
1,2021-01-19 21:23:25.726362,1,0.45412,0,0,8284,5450,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0
1,2021-01-19 21:23:25.726362,1,0.67195,0,0,8280,8322,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0
44,2021-01-19 21:23:24.069324,1,0.60568,0,0,5661,5657,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0
82,2021-01-19 21:23:23.436711,1,0.6207,0,0,4710,5547,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0
82,2021-01-19 21:23:23.436711,1,0.5916,0,0,4715,4711,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0
132,2021-01-19 21:23:24.479338,1,2.23767,1,1,4837,4728,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0
132,2021-01-19 21:23:24.479338,1,0.6604,0,0,4835,4826,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0
132,2021-01-19 21:23:24.479338,1,0.61839,0,0,4728,4828,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0
132,2021-01-19 21:23:24.479338,1,0.20114,0,0,4826,4818,0,0,0,0,0,0,0,609,0,0,0,0,0,0,0
132,2021-01-19 21:23:24.479338,1,0.12988,0,0,4828,8293,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0
133,2021-01-19 21:23:24.196378,1,0.78079,0,0,4690,4686,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0
133,2021-01-19 21:23:24.196378,1,0.63856,0,0,4685,4693,0,0,0,0,0,0,0,662,0,0,0,0,0,0,0
132,2021-01-19 21:23:24.479338,2,2.28995,1,1,4837,4728,4828,0,0,0,0,0,0,-7,402,0,0,0,0,0,0
